Weight (kg),Age,Height (cm),Size
54,19,165.1,S
54,19,157.48,S
52,19,167.64,S
49,19,157.48,S
56,19,167.64,S
54,19,167.64,S
53,19,170.18,S
47,19,165.1,S
56,19,167.64,S
60,19,160.02,S
58,19,165.1,S
56,19,162.56,S
56,19,162.56,S
53,19,162.56,S
56,19,180.34,S
52,19,167.64,S
56,19,175.26,S
49,19,172.72,S
53,19,170.18,S
49,19,175.26,S
49,19,154.94,S
49,19,162.56,S
54,19,170.18,S
56,19,175.26,S
52,19,162.56,S
49,19,165.1,S
52,19,165.1,S
49,19,154.94,S
49,19,162.56,S
58,19,167.64,S
56,19,170.18,S
56,19,157.48,S
52,19,157.48,S
49,19,165.1,S
52,19,154.94,S
56,19,154.94,S
61,19,167.64,S
56,19,175.26,S
48,19,165.1,S
54,19,160.02,S
61,19,167.64,S
54,19,157.48,S
54,19,157.48,S
58,19,167.64,S
61,19,180.34,S
48,19,160.02,S
58,19,167.64,S
54,20,167.64,S
54,20,177.8,S
47,20,157.48,S
56,20,177.8,S
58,20,165.1,S
52,20,165.1,S
51,20,149.86,S
49,20,165.1,S
52,20,175.26,S
52,20,157.48,S
52,20,160.02,S
56,20,170.18,S
52,20,172.72,S
61,20,167.64,S
53,20,165.1,S
54,20,160.02,S
51,20,160.02,S
47,20,154.94,S
56,20,172.72,S
54,20,167.64,S
61,20,175.26,S
54,20,165.1,S
54,20,165.1,S
55,20,160.02,S
52,20,165.1,S
57,20,172.72,S
48,20,160.02,S
52,20,170.18,S
53,20,172.72,S
54,20,165.1,S
54,20,177.8,S
54,20,167.64,S
61,20,170.18,S
63,20,172.72,S
54,20,162.56,S
58,20,172.72,S
52,20,175.26,S
54,20,165.1,S
54,20,162.56,S
53,20,162.56,S
56,20,170.18,S
45,20,160.02,S
56,20,175.26,S
49,20,175.26,S
58,20,162.56,S
58,20,172.72,S
65,20,177.8,S
52,20,162.56,S
52,20,165.1,S
52,20,167.64,S
58,20,170.18,S
49,20,172.72,S
49,20,177.8,S
54,20,162.56,S
54,20,165.1,S
68,20,154.94,S
60,20,172.72,S
49,20,175.26,S
49,20,157.48,S
52,20,154.94,S
58,20,172.72,S
54,20,175.26,S
56,20,170.18,S
50,20,152.4,S
58,20,165.1,S
52,20,165.1,S
54,20,172.72,S
58,20,165.1,S
52,20,160.02,S
47,20,157.48,S
52,20,162.56,S
56,20,177.8,S
49,20,170.18,S
51,20,149.86,S
58,20,170.18,S
56,20,170.18,S
52,20,170.18,S
52,20,162.56,S
54,20,170.18,S
54,20,167.64,S
60,20,160.02,S
49,20,149.86,S
56,20,165.1,S
52,20,165.1,S
54,20,162.56,S
50,20,157.48,S
56,20,167.64,S
56,20,160.02,S
54,20,160.02,S
53,20,154.94,S
52,20,142.24,S
50,20,157.48,S
56,20,160.02,S
58,20,165.1,S
54,20,170.18,S
54,20,160.02,S
57,20,182.88,S
52,20,170.18,S
43,20,149.86,S
61,20,154.94,S
54,20,165.1,S
56,20,167.64,S
61,20,175.26,S
53,20,157.48,S
56,20,170.18,S
49,20,170.18,S
54,20,162.56,S
58,20,175.26,S
52,20,162.56,S
49,20,157.48,S
51,20,149.86,S
56,20,154.94,S
56,20,162.56,S
56,20,157.48,S
52,20,170.18,S
52,20,175.26,S
54,20,167.64,S
58,20,154.94,S
49,20,160.02,S
49,20,160.02,S
45,20,154.94,S
56,20,160.02,S
58,20,170.18,S
54,20,160.02,S
54,20,160.02,S
48,20,175.26,S
52,20,162.56,S
63,20,175.26,S
47,20,165.1,S
56,20,170.18,S
56,20,165.1,S
56,20,172.72,S
56,20,160.02,S
56,20,170.18,S
58,20,172.72,S
56,20,170.18,S
54,20,172.72,S
51,20,149.86,S
54,20,160.02,S
56,20,165.1,S
54,20,162.56,S
56,20,165.1,S
51,20,160.02,S
56,20,167.64,S
54,20,165.1,S
52,20,157.48,S
49,20,172.72,S
56,20,162.56,S
57,20,165.1,S
56,20,170.18,S
53,20,165.1,S
51,20,162.56,S
61,20,170.18,S
52,20,170.18,S
48,20,157.48,S
49,20,162.56,S
52,20,160.02,S
58,20,172.72,S
56,20,167.64,S
56,20,165.1,S
56,20,162.56,S
55,20,160.02,S
62,20,172.72,S
54,20,157.48,S
58,20,162.56,S
52,20,165.1,S
49,20,149.86,S
54,20,167.64,S
56,21,160.02,S
56,21,167.64,S
58,21,165.1,S
56,21,152.4,S
52,21,167.64,S
56,21,170.18,S
54,21,154.94,S
52,21,162.56,S
61,21,167.64,S
52,21,165.1,S
52,21,162.56,S
56,21,172.72,S
65,21,170.18,S
54,21,160.02,S
52,21,177.8,S
54,21,154.94,S
56,21,170.18,S
56,21,172.72,S
58,21,182.88,S
61,21,162.56,S
56,21,160.02,S
56,21,170.18,S
56,21,172.72,S
56,21,165.1,S
51,21,175.26,S
61,21,177.8,S
58,21,162.56,S
56,21,170.18,S
49,21,162.56,S
52,21,162.56,S
56,21,172.72,S
54,21,160.02,S
54,21,167.64,S
53,21,157.48,S
56,21,160.02,S
52,21,157.48,S
60,21,165.1,S
57,21,149.86,S
52,21,157.48,S
45,21,170.18,S
52,21,170.18,S
56,21,177.8,S
53,21,162.56,S
65,21,175.26,S
53,21,162.56,S
52,21,162.56,S
51,21,157.48,S
54,21,167.64,S
54,21,162.56,S
61,21,167.64,S
52,21,165.1,S
56,21,180.34,S
54,21,170.18,S
47,21,162.56,S
53,21,152.4,S
56,21,170.18,S
52,21,154.94,S
56,21,162.56,S
61,21,170.18,S
49,21,157.48,S
53,21,154.94,S
54,21,162.56,S
54,21,167.64,S
49,21,170.18,S
56,21,160.02,S
47,21,157.48,S
54,21,167.64,S
54,21,167.64,S
52,21,157.48,S
52,21,165.1,S
58,21,165.1,S
54,21,165.1,S
58,21,160.02,S
56,21,157.48,S
61,21,167.64,S
54,21,157.48,S
58,21,167.64,S
56,21,165.1,S
54,21,170.18,S
54,21,165.1,S
58,21,157.48,S
54,21,157.48,S
47,21,160.02,S
56,21,157.48,S
58,21,162.56,S
52,21,175.26,S
56,21,172.72,S
61,21,167.64,S
52,21,177.8,S
58,21,170.18,S
56,21,160.02,S
54,21,167.64,S
56,21,160.02,S
61,21,157.48,S
53,21,170.18,S
61,21,172.72,S
52,21,165.1,S
54,21,167.64,S
58,21,170.18,S
56,21,162.56,S
54,21,154.94,S
54,21,154.94,S
54,21,177.8,S
56,21,170.18,S
58,21,170.18,S
58,21,170.18,S
52,21,170.18,S
54,21,167.64,S
52,21,165.1,S
53,21,152.4,S
54,21,160.02,S
56,21,172.72,S
51,21,157.48,S
57,21,167.64,S
56,21,167.64,S
52,21,157.48,S
62,21,162.56,S
58,21,160.02,S
57,21,177.8,S
47,21,162.56,S
54,21,162.56,S
52,21,162.56,S
48,21,157.48,S
54,21,162.56,S
45,21,157.48,S
54,21,177.8,S
41,21,149.86,S
55,21,170.18,S
53,21,172.72,S
48,21,160.02,S
52,21,154.94,S
61,21,175.26,S
47,21,172.72,S
56,21,165.1,S
56,21,167.64,S
58,21,160.02,S
58,21,170.18,S
53,21,154.94,S
52,21,157.48,S
47,21,160.02,S
56,21,167.64,S
58,21,160.02,S
52,21,165.1,S
56,21,172.72,S
52,21,165.1,S
53,21,154.94,S
54,21,160.02,S
54,21,170.18,S
54,21,167.64,S
61,21,170.18,S
43,21,147.32,S
58,21,162.56,S
56,21,170.18,S
54,21,162.56,S
58,21,165.1,S
54,21,162.56,S
55,21,162.56,S
56,21,157.48,S
47,21,160.02,S
54,21,154.94,S
53,21,157.48,S
51,21,162.56,S
51,21,175.26,S
56,21,167.64,S
58,21,170.18,S
52,21,160.02,S
54,21,162.56,S
56,21,167.64,S
61,21,177.8,S
58,21,175.26,S
52,21,162.56,S
54,21,170.18,S
63,21,172.72,S
54,21,152.4,S
52,21,167.64,S
54,21,167.64,S
52,21,162.56,S
58,21,165.1,S
56,21,167.64,S
49,21,154.94,S
57,21,167.64,S
56,21,160.02,S
63,21,165.1,S
56,21,172.72,S
54,21,167.64,S
51,21,175.26,S
49,21,154.94,S
50,21,165.1,S
57,21,167.64,S
58,21,175.26,S
54,21,157.48,S
49,21,165.1,S
54,21,167.64,S
65,21,167.64,S
56,21,170.18,S
58,21,172.72,S
62,21,157.48,S
55,21,162.56,S
49,21,154.94,S
67,21,162.56,S
54,21,162.56,S
49,21,160.02,S
65,21,177.8,S
54,21,167.64,S
52,21,165.1,S
54,21,162.56,S
52,21,162.56,S
58,21,170.18,S
54,21,167.64,S
56,22,157.48,S
52,22,154.94,S
54,22,162.56,S
56,22,162.56,S
49,22,152.4,S
58,22,165.1,S
54,22,165.1,S
58,22,170.18,S
54,22,165.1,S
50,22,162.56,S
56,22,162.56,S
61,22,172.72,S
56,22,165.1,S
51,22,160.02,S
55,22,170.18,S
54,22,165.1,S
52,22,165.1,S
54,22,160.02,S
54,22,165.1,S
54,22,165.1,S
58,22,175.26,S
55,22,167.64,S
55,22,162.56,S
49,22,175.26,S
58,22,170.18,S
54,22,160.02,S
56,22,162.56,S
52,22,160.02,S
54,22,165.1,S
54,22,165.1,S
51,22,162.56,S
46,22,154.94,S
54,22,165.1,S
54,22,165.1,S
61,22,172.72,S
58,22,170.18,S
49,22,154.94,S
52,22,167.64,S
50,22,167.64,S
56,22,162.56,S
58,22,157.48,S
54,22,170.18,S
52,22,167.64,S
54,22,165.1,S
54,22,165.1,S
49,22,152.4,S
54,22,177.8,S
52,22,170.18,S
54,22,165.1,S
54,22,167.64,S
56,22,160.02,S
54,22,162.56,S
72,22,167.64,S
56,22,172.72,S
54,22,170.18,S
56,22,165.1,S
54,22,167.64,S
54,22,170.18,S
54,22,165.1,S
54,22,165.1,S
54,22,170.18,S
56,22,162.56,S
58,22,167.64,S
54,22,160.02,S
58,22,167.64,S
61,22,170.18,S
63,22,157.48,S
58,22,167.64,S
49,22,167.64,S
55,22,165.1,S
61,22,175.26,S
58,22,172.72,S
54,22,165.1,S
54,22,165.1,S
54,22,165.1,S
54,22,165.1,S
56,22,167.64,S
52,22,162.56,S
54,22,157.48,S
54,22,167.64,S
52,22,160.02,S
58,22,162.56,S
58,22,167.64,S
62,22,172.72,S
50,22,154.94,S
56,22,170.18,S
52,22,160.02,S
54,22,162.56,S
54,22,165.1,S
61,22,172.72,S
49,22,157.48,S
54,22,165.1,S
52,22,157.48,S
56,22,165.1,S
54,22,160.02,S
52,22,160.02,S
56,22,165.1,S
52,22,165.1,S
54,22,165.1,S
43,22,154.94,S
56,22,165.1,S
54,22,162.56,S
58,22,177.8,S
56,22,162.56,S
56,22,170.18,S
54,22,167.64,S
54,22,170.18,S
54,22,165.1,S
54,22,160.02,S
58,22,172.72,S
56,22,170.18,S
52,22,157.48,S
58,22,175.26,S
56,22,167.64,S
54,22,157.48,S
52,22,162.56,S
51,22,152.4,S
54,22,162.56,S
50,22,167.64,S
59,22,170.18,S
52,22,152.4,S
52,22,152.4,S
52,22,170.18,S
45,22,149.86,S
52,22,172.72,S
52,22,167.64,S
51,22,152.4,S
58,22,165.1,S
54,22,165.1,S
52,22,152.4,S
55,22,167.64,S
53,22,160.02,S
52,22,162.56,S
52,22,160.02,S
54,22,154.94,S
52,22,157.48,S
56,22,165.1,S
61,22,175.26,S
61,22,172.72,S
54,22,165.1,S
60,22,162.56,S
54,22,170.18,S
59,22,172.72,S
56,22,165.1,S
58,22,165.1,S
54,22,170.18,S
56,22,162.56,S
53,22,160.02,S
56,22,157.48,S
55,22,167.64,S
52,22,165.1,S
66,22,170.18,S
56,22,167.64,S
58,22,170.18,S
52,22,167.64,S
58,22,162.56,S
49,22,170.18,S
63,22,172.72,S
54,22,165.1,S
54,22,165.1,S
56,22,162.56,S
54,22,157.48,S
49,22,154.94,S
56,22,167.64,S
59,22,160.02,S
51,22,165.1,S
54,22,165.1,S
60,22,165.1,S
56,22,149.86,S
56,22,167.64,S
54,22,165.1,S
61,22,170.18,S
54,22,165.1,S
56,22,167.64,S
52,22,162.56,S
61,22,172.72,S
57,22,170.18,S
54,22,162.56,S
61,22,172.72,S
54,22,165.1,S
54,22,165.1,S
58,22,165.1,S
56,22,160.02,S
56,22,167.64,S
49,22,160.02,S
54,22,160.02,S
54,22,170.18,S
49,22,157.48,S
56,22,157.48,S
56,22,154.94,S
52,22,162.56,S
58,22,167.64,S
46,22,157.48,S
54,22,165.1,S
51,22,170.18,S
61,22,172.72,S
54,22,175.26,S
58,22,172.72,S
63,22,172.72,S
54,22,167.64,S
52,22,172.72,S
54,22,170.18,S
54,22,160.02,S
54,22,170.18,S
53,22,160.02,S
54,22,165.1,S
54,22,165.1,S
56,22,167.64,S
47,22,170.18,S
54,22,167.64,S
54,22,167.64,S
54,22,165.1,S
54,22,162.56,S
58,22,170.18,S
56,22,162.56,S
56,22,170.18,S
50,22,167.64,S
56,22,160.02,S
52,22,165.1,S
48,22,170.18,S
56,22,170.18,S
54,22,167.64,S
52,22,157.48,S
58,22,170.18,S
51,22,160.02,S
63,22,172.72,S
56,22,162.56,S
45,22,165.1,S
45,22,154.94,S
54,22,165.1,S
58,22,177.8,S
51,22,167.64,S
50,22,162.56,S
47,22,162.56,S
58,22,170.18,S
53,22,162.56,S
52,22,162.56,S
49,22,167.64,S
57,22,165.1,S
54,22,162.56,S
54,22,157.48,S
56,22,172.72,S
59,22,170.18,S
49,22,157.48,S
58,22,172.72,S
61,22,162.56,S
54,22,165.1,S
52,22,162.56,S
56,22,167.64,S
65,22,165.1,S
61,22,177.8,S
54,22,177.8,S
54,22,165.1,S
54,22,162.56,S
54,22,165.1,S
54,22,170.18,S
54,22,165.1,S
58,22,172.72,S
58,22,165.1,S
49,22,152.4,S
54,22,165.1,S
54,22,160.02,S
52,22,162.56,S
58,22,170.18,S
52,22,157.48,S
58,22,167.64,S
54,22,170.18,S
54,22,162.56,S
54,22,165.1,S
54,22,165.1,S
54,22,165.1,S
63,22,172.72,S
56,22,157.48,S
54,22,165.1,S
56,22,157.48,S
56,22,165.1,S
54,22,170.18,S
55,22,170.18,S
61,22,170.18,S
53,22,167.64,S
57,22,154.94,S
56,22,170.18,S
55,22,162.56,S
58,22,172.72,S
47,22,152.4,S
54,22,167.64,S
54,22,165.1,S
58,22,160.02,S
58,22,170.18,S
51,22,172.72,S
53,22,167.64,S
56,22,170.18,S
54,22,165.1,S
54,22,170.18,S
54,22,165.1,S
43,22,149.86,S
52,22,162.56,S
49,22,167.64,S
52,22,165.1,S
58,22,160.02,S
55,22,170.18,S
56,22,162.56,S
58,22,157.48,S
58,22,165.1,S
54,22,165.1,S
53,22,160.02,S
56,23,175.26,S
55,23,172.72,S
58,23,172.72,S
54,23,170.18,S
52,23,160.02,S
53,23,157.48,S
56,23,157.48,S
54,23,157.48,S
52,23,152.4,S
49,23,154.94,S
56,23,170.18,S
43,23,147.32,S
55,23,170.18,S
52,23,160.02,S
52,23,167.64,S
52,23,172.72,S
52,23,160.02,S
48,23,165.1,S
52,23,152.4,S
58,23,175.26,S
54,23,165.1,S
56,23,160.02,S
43,23,152.4,S
52,23,160.02,S
56,23,157.48,S
56,23,154.94,S
61,23,170.18,S
58,23,160.02,S
49,23,160.02,S
52,23,160.02,S
56,23,167.64,S
58,23,172.72,S
56,23,165.1,S
56,23,157.48,S
54,23,162.56,S
68,23,167.64,S
48,23,167.64,S
58,23,175.26,S
48,23,160.02,S
52,23,157.48,S
58,23,175.26,S
52,23,154.94,S
58,23,167.64,S
56,23,160.02,S
56,23,152.4,S
58,23,160.02,S
58,23,180.34,S
56,23,160.02,S
61,23,165.1,S
56,23,167.64,S
56,23,165.1,S
53,23,170.18,S
52,23,160.02,S
58,23,157.48,S
56,23,167.64,S
63,23,177.8,S
56,23,167.64,S
65,23,170.18,S
58,23,175.26,S
52,23,165.1,S
58,23,170.18,S
57,23,157.48,S
58,23,160.02,S
58,23,162.56,S
56,23,162.56,S
52,23,175.26,S
61,23,167.64,S
58,23,167.64,S
49,23,152.4,S
57,23,170.18,S
58,23,160.02,S
65,23,162.56,S
58,23,162.56,S
54,23,157.48,S
49,23,160.02,S
56,23,165.1,S
52,23,162.56,S
62,23,167.64,S
53,23,170.18,S
49,23,154.94,S
54,23,157.48,S
59,23,175.26,S
54,23,162.56,S
57,23,162.56,S
48,23,160.02,S
52,23,167.64,S
52,23,177.8,S
54,23,165.1,S
58,23,157.48,S
54,23,170.18,S
61,23,165.1,S
56,23,160.02,S
58,23,149.86,S
56,23,167.64,S
56,23,160.02,S
53,23,165.1,S
54,23,167.64,S
58,23,157.48,S
58,23,160.02,S
54,23,170.18,S
65,23,170.18,S
58,23,162.56,S
43,23,147.32,S
54,23,170.18,S
51,23,167.64,S
52,23,160.02,S
47,23,162.56,S
58,23,160.02,S
52,23,160.02,S
54,23,170.18,S
56,23,175.26,S
54,23,177.8,S
58,23,172.72,S
48,23,165.1,S
56,23,154.94,S
46,23,160.02,S
51,23,154.94,S
56,23,162.56,S
56,23,152.4,S
48,23,160.02,S
54,23,177.8,S
58,23,162.56,S
51,23,154.94,S
58,23,162.56,S
54,23,149.86,S
49,23,154.94,S
49,23,167.64,S
50,23,157.48,S
58,23,162.56,S
52,23,167.64,S
56,23,162.56,S
52,23,160.02,S
53,23,157.48,S
56,23,170.18,S
61,23,180.34,S
54,23,167.64,S
53,23,170.18,S
54,23,152.4,S
54,23,157.48,S
55,23,160.02,S
61,23,170.18,S
61,23,170.18,S
56,23,170.18,S
56,23,160.02,S
54,23,170.18,S
58,23,165.1,S
58,23,160.02,S
55,23,162.56,S
47,23,160.02,S
52,23,157.48,S
49,23,167.64,S
48,23,157.48,S
55,23,172.72,S
45,23,154.94,S
54,23,160.02,S
52,23,165.1,S
58,23,160.02,S
56,23,165.1,S
56,23,167.64,S
63,23,172.72,S
58,23,157.48,S
56,23,165.1,S
56,23,167.64,S
63,23,167.64,S
49,23,154.94,S
58,23,170.18,S
52,23,165.1,S
58,23,162.56,S
56,23,162.56,S
49,23,157.48,S
49,23,154.94,S
52,23,157.48,S
56,23,160.02,S
54,23,162.56,S
56,23,160.02,S
60,23,170.18,S
51,23,170.18,S
54,23,162.56,S
56,23,154.94,S
56,23,172.72,S
58,23,162.56,S
63,23,177.8,S
48,23,162.56,S
61,23,162.56,S
52,23,157.48,S
56,23,157.48,S
61,23,172.72,S
55,23,170.18,S
53,23,160.02,S
54,23,167.64,S
56,23,167.64,S
58,23,177.8,S
56,23,162.56,S
52,23,167.64,S
52,23,167.64,S
54,23,165.1,S
54,23,157.48,S
58,23,175.26,S
49,23,152.4,S
58,23,172.72,S
54,23,170.18,S
56,23,162.56,S
51,23,177.8,S
44,23,160.02,S
58,23,162.56,S
47,23,154.94,S
52,23,157.48,S
54,23,157.48,S
52,23,170.18,S
47,23,162.56,S
58,23,162.56,S
56,23,170.18,S
52,23,160.02,S
58,23,170.18,S
49,23,157.48,S
54,23,167.64,S
56,23,165.1,S
56,23,162.56,S
52,23,165.1,S
47,23,162.56,S
59,23,175.26,S
54,23,162.56,S
56,23,167.64,S
52,23,157.48,S
54,23,157.48,S
54,23,162.56,S
56,23,160.02,S
52,23,160.02,S
52,23,162.56,S
61,23,167.64,S
52,23,160.02,S
59,23,167.64,S
56,23,160.02,S
54,23,162.56,S
54,23,165.1,S
54,23,162.56,S
48,23,154.94,S
54,23,170.18,S
58,23,170.18,S
57,23,177.8,S
56,23,175.26,S
63,23,167.64,S
53,23,170.18,S
45,23,165.1,S
49,23,154.94,S
53,23,154.94,S
54,23,172.72,S
52,23,160.02,S
48,23,152.4,S
52,23,157.48,S
58,23,165.1,S
54,23,157.48,S
54,23,170.18,S
58,23,170.18,S
49,23,170.18,S
52,23,165.1,S
58,23,170.18,S
53,23,160.02,S
70,23,175.26,S
56,23,157.48,S
58,23,167.64,S
53,23,157.48,S
56,23,167.64,S
54,23,170.18,S
47,23,152.4,S
59,23,175.26,S
56,23,170.18,S
56,23,167.64,S
52,23,160.02,S
56,23,162.56,S
56,23,177.8,S
52,23,160.02,S
52,23,160.02,S
52,23,154.94,S
62,23,160.02,S
56,23,165.1,S
56,23,162.56,S
54,23,172.72,S
61,23,167.64,S
57,23,162.56,S
58,23,160.02,S
55,23,162.56,S
47,23,154.94,S
52,23,157.48,S
54,23,162.56,S
58,23,162.56,S
54,23,170.18,S
54,23,157.48,S
58,23,170.18,S
56,23,165.1,S
56,23,165.1,S
59,23,167.64,S
53,23,170.18,S
48,23,160.02,S
49,23,152.4,S
56,23,167.64,S
52,23,160.02,S
47,23,157.48,S
47,23,147.32,S
56,23,170.18,S
56,23,167.64,S
54,23,160.02,S
56,23,167.64,S
56,23,157.48,S
52,23,165.1,S
52,23,157.48,S
54,23,160.02,S
52,23,160.02,S
56,23,170.18,S
58,23,170.18,S
61,23,180.34,S
63,23,177.8,S
57,23,160.02,S
53,23,154.94,S
53,23,167.64,S
53,23,165.1,S
52,23,160.02,S
56,23,175.26,S
58,23,160.02,S
58,23,160.02,S
48,23,165.1,S
54,23,162.56,S
56,23,170.18,S
45,23,160.02,S
58,23,162.56,S
53,23,160.02,S
56,23,157.48,S
49,23,167.64,S
47,23,157.48,S
54,23,160.02,S
52,23,165.1,S
53,23,160.02,S
54,23,162.56,S
56,23,160.02,S
52,23,154.94,S
54,23,170.18,S
47,23,170.18,S
49,24,167.64,S
52,24,160.02,S
55,24,175.26,S
49,24,167.64,S
49,24,160.02,S
56,24,167.64,S
58,24,160.02,S
54,24,167.64,S
54,24,170.18,S
49,24,167.64,S
49,24,167.64,S
49,24,167.64,S
49,24,160.02,S
57,24,167.64,S
47,24,162.56,S
56,24,167.64,S
52,24,154.94,S
57,24,162.56,S
54,24,170.18,S
54,24,160.02,S
62,24,160.02,S
54,24,170.18,S
52,24,160.02,S
49,24,167.64,S
54,24,154.94,S
58,24,165.1,S
52,24,162.56,S
54,24,157.48,S
49,24,167.64,S
54,24,160.02,S
49,24,167.64,S
58,24,167.64,S
56,24,162.56,S
58,24,167.64,S
49,24,165.1,S
57,24,177.8,S
58,24,170.18,S
49,24,167.64,S
56,24,165.1,S
61,24,167.64,S
52,24,167.64,S
50,24,160.02,S
45,24,157.48,S
49,24,167.64,S
54,24,160.02,S
53,24,167.64,S
54,24,162.56,S
61,24,180.34,S
54,24,160.02,S
53,24,162.56,S
56,24,157.48,S
56,24,165.1,S
54,24,175.26,S
54,24,162.56,S
61,24,167.64,S
54,24,160.02,S
49,24,167.64,S
49,24,167.64,S
49,24,160.02,S
55,24,170.18,S
49,24,172.72,S
56,24,160.02,S
54,24,160.02,S
54,24,157.48,S
58,24,175.26,S
52,24,160.02,S
54,24,165.1,S
58,24,172.72,S
54,24,157.48,S
54,24,172.72,S
56,24,167.64,S
52,24,157.48,S
49,24,160.02,S
61,24,175.26,S
54,24,162.56,S
54,24,175.26,S
56,24,172.72,S
58,24,154.94,S
55,24,157.48,S
50,24,160.02,S
61,24,162.56,S
49,24,162.56,S
62,24,170.18,S
49,24,167.64,S
49,24,160.02,S
54,24,157.48,S
52,24,172.72,S
58,24,167.64,S
63,24,165.1,S
52,24,167.64,S
58,24,167.64,S
54,24,165.1,S
52,24,152.4,S
45,24,162.56,S
49,24,160.02,S
56,24,170.18,S
56,24,160.02,S
56,24,167.64,S
49,24,167.64,S
54,24,162.56,S
49,24,162.56,S
58,24,154.94,S
56,24,162.56,S
61,24,172.72,S
47,24,152.4,S
49,24,167.64,S
54,24,157.48,S
53,24,162.56,S
56,24,157.48,S
56,24,160.02,S
53,24,154.94,S
58,24,167.64,S
54,24,162.56,S
49,24,167.64,S
59,24,175.26,S
62,24,180.34,S
58,24,160.02,S
53,24,162.56,S
49,24,165.1,S
54,24,154.94,S
52,24,162.56,S
55,24,162.56,S
65,24,170.18,S
54,24,167.64,S
56,24,162.56,S
54,24,160.02,S
56,24,172.72,S
49,24,167.64,S
58,24,167.64,S
52,24,160.02,S
49,24,167.64,S
58,24,180.34,S
54,24,160.02,S
54,24,162.56,S
49,24,162.56,S
52,24,160.02,S
58,24,165.1,S
61,24,172.72,S
56,24,165.1,S
56,24,165.1,S
51,24,160.02,S
49,24,165.1,S
58,24,170.18,S
58,24,170.18,S
54,24,170.18,S
49,24,160.02,S
54,24,162.56,S
49,24,167.64,S
56,24,162.56,S
52,24,154.94,S
56,24,172.72,S
55,24,170.18,S
49,24,167.64,S
58,24,160.02,S
54,24,172.72,S
56,24,175.26,S
49,24,162.56,S
45,24,157.48,S
49,24,154.94,S
61,24,160.02,S
56,24,170.18,S
